player_id,season_id,matches,innings,runs,balls,average,strike_rate,fours,sixes,fifties,hundreds,dot_ball_pct,boundary_pct,highest_score
151,11,14,14,370.0,313.0,26.43,118.21,39,5,1,0,31.63,14.06,65.0
151,12,13,13,393.0,285.0,30.23,137.89,45,9,1,1,34.39,18.95,105.0
151,13,8,8,113.0,107.0,14.12,105.61,12,2,1,0,40.19,13.08,60.0
151,14,1,1,8.0,8.0,8.0,100.0,1,0,0,0,50.0,12.5,8.0
151,15,7,7,133.0,128.0,19.0,103.91,14,4,0,0,45.31,14.06,44.0
151,16,11,11,326.0,189.0,29.64,172.49,24,16,2,0,19.05,21.16,71.0
151,17,12,12,242.0,196.0,20.17,123.47,24,7,0,0,34.69,15.82,45.0
151,18,12,12,390.0,264.0,32.5,147.73,36,20,3,0,35.23,21.21,61.0
148,15,1,1,5.0,3.0,5.0,166.67,1,0,0,0,33.33,33.33,5.0
148,16,9,9,110.0,101.0,12.22,108.91,7,6,1,0,46.53,12.87,51.0
563,3,1,1,4.0,7.0,4.0,57.14,0,0,0,0,42.86,0.0,4.0
563,4,1,1,18.0,13.0,18.0,138.46,1,1,0,0,38.46,15.38,18.0
563,7,1,1,4.0,1.0,4.0,400.0,1,0,0,0,0.0,100.0,4.0
563,8,3,3,10.0,5.0,3.33,200.0,2,0,0,0,20.0,40.0,5.0
617,2,2,2,7.0,8.0,3.5,87.5,1,0,0,0,62.5,12.5,7.0
686,18,12,12,236.0,142.0,19.67,166.2,12,20,1,0,33.8,22.54,74.0
370,3,4,4,63.0,66.0,15.75,95.45,6,1,0,0,46.97,10.61,40.0
402,5,4,4,18.0,13.0,4.5,138.46,0,2,0,0,38.46,15.38,15.0
402,7,2,2,34.0,30.0,17.0,113.33,4,1,0,0,53.33,16.67,30.0
402,8,2,2,7.0,6.0,3.5,116.67,1,0,0,0,33.33,16.67,7.0
402,9,1,1,3.0,3.0,3.0,100.0,0,0,0,0,33.33,0.0,3.0
402,10,1,1,25.0,15.0,25.0,166.67,2,1,0,0,20.0,20.0,25.0
435,10,3,3,7.0,9.0,2.33,77.78,0,1,0,0,55.56,11.11,7.0
