player_id,season_id,phase,matches,innings,balls_bowled,overs,runs_conceded,wickets,economy,bowling_avg,bowling_strike_rate,dot_balls,dot_balls_pct,fours_conceded,sixes_conceded
730,1,Powerplay Over,2,2,25,4.0,50.0,0,12.5,0.0,inf,7,28.0,9,1
735,1,Middle Over,1,1,6,1.0,3.0,1,3.0,3.0,6.0,3,50.0,0,0
754,1,Death Over,3,3,24,4.0,64.0,1,16.0,64.0,24.0,5,20.83,6,4
754,1,Middle Over,4,4,54,9.0,70.0,2,7.78,35.0,27.0,17,31.48,7,2
754,1,Powerplay Over,1,1,6,1.0,7.0,0,7.0,0.0,inf,3,50.0,1,0
756,1,Death Over,3,3,24,4.0,55.0,2,13.75,27.5,12.0,6,25.0,3,5
756,1,Middle Over,8,8,110,18.0,128.0,4,7.11,32.0,27.0,42,38.18,9,6
761,1,Middle Over,4,4,63,10.0,68.0,2,6.8,34.0,30.0,22,34.92,5,2
768,1,Death Over,11,11,75,12.0,90.0,5,7.5,18.0,14.4,27,36.0,8,3
768,1,Middle Over,15,15,288,48.0,307.0,6,6.4,51.17,45.0,97,33.68,13,11
768,1,Powerplay Over,1,1,6,1.0,7.0,0,7.0,0.0,inf,3,50.0,1,0
774,1,Death Over,1,1,7,1.0,9.0,1,9.0,9.0,6.0,2,28.57,0,0
774,1,Middle Over,2,2,24,4.0,39.0,1,9.75,39.0,24.0,5,20.83,3,2
774,1,Powerplay Over,1,1,7,1.0,12.0,0,12.0,0.0,inf,2,28.57,1,1
4,2,Death Over,3,3,28,4.0,66.0,1,16.5,66.0,24.0,1,3.57,7,3
4,2,Middle Over,9,9,82,13.0,85.0,1,6.54,85.0,78.0,27,32.93,7,2
4,2,Powerplay Over,14,14,179,29.0,202.0,4,6.97,50.5,43.5,83,46.37,24,3
6,2,Death Over,5,5,26,4.0,36.0,0,9.0,0.0,inf,8,30.77,2,1
6,2,Middle Over,8,8,112,18.0,109.0,6,6.06,18.17,18.0,31,27.68,8,0
6,2,Powerplay Over,1,1,6,1.0,6.0,0,6.0,0.0,inf,3,50.0,1,0
39,2,Death Over,10,10,69,11.0,78.0,9,7.09,8.67,7.44,20,28.99,6,1
39,2,Middle Over,16,16,253,42.0,246.0,10,5.86,24.6,25.2,95,37.55,9,7
39,2,Powerplay Over,5,5,36,6.0,23.0,2,3.83,11.5,18.0,23,63.89,3,0
42,2,Death Over,2,2,24,4.0,58.0,1,14.5,58.0,24.0,3,12.5,4,5
42,2,Middle Over,2,2,30,5.0,26.0,1,5.2,26.0,30.0,14,46.67,1,1
42,2,Powerplay Over,2,2,12,2.0,21.0,0,10.5,0.0,inf,3,25.0,2,1
64,2,Death Over,11,11,112,18.0,131.0,10,7.28,13.1,10.8,35,31.25,10,3
64,2,Middle Over,3,3,30,5.0,29.0,0,5.8,0.0,inf,13,43.33,3,0
64,2,Powerplay Over,13,13,184,30.0,186.0,9,6.2,20.67,18.67,91,49.46,17,6
65,2,Death Over,4,4,30,5.0,41.0,2,8.2,20.5,15.0,9,30.0,2,2
65,2,Middle Over,6,6,89,14.0,122.0,5,8.71,24.4,16.8,19,21.35,5,6
66,2,Powerplay Over,1,1,7,1.0,25.0,0,25.0,0.0,inf,1,14.29,1,3
105,2,Death Over,8,8,75,12.0,99.0,4,8.25,24.75,18.0,9,12.0,3,3
105,2,Middle Over,10,10,121,20.0,124.0,5,6.2,24.8,24.0,41,33.88,4,5
105,2,Powerplay Over,2,2,13,2.0,25.0,0,12.5,0.0,inf,3,23.08,2,2
111,2,Death Over,3,3,18,3.0,12.0,0,4.0,0.0,inf,7,38.89,0,0
111,2,Middle Over,9,9,103,17.0,130.0,6,7.65,21.67,17.0,41,39.81,9,4
118,2,Death Over,2,2,12,2.0,14.0,1,7.0,14.0,12.0,1,8.33,1,0
118,2,Middle Over,3,3,24,4.0,46.0,0,11.5,0.0,inf,6,25.0,5,2
118,2,Powerplay Over,3,3,18,3.0,22.0,0,7.33,0.0,inf,9,50.0,2,1
129,2,Death Over,4,4,37,6.0,49.0,1,8.17,49.0,36.0,5,13.51,1,2
129,2,Middle Over,3,3,25,4.0,21.0,2,5.25,10.5,12.0,9,36.0,1,0
129,2,Powerplay Over,6,6,70,11.0,72.0,3,6.55,24.0,22.0,35,50.0,10,1
132,2,Death Over,1,1,6,1.0,19.0,0,19.0,0.0,inf,1,16.67,3,1
132,2,Middle Over,3,3,31,5.0,39.0,0,7.8,0.0,inf,3,9.68,3,0
134,2,Death Over,3,3,25,4.0,47.0,2,11.75,23.5,12.0,5,20.0,2,4
134,2,Middle Over,2,2,18,3.0,6.0,0,2.0,0.0,inf,12,66.67,0,0
134,2,Powerplay Over,8,8,107,17.0,140.0,2,8.24,70.0,51.0,50,46.73,16,5
137,2,Death Over,1,1,6,1.0,2.0,2,2.0,1.0,3.0,4,66.67,0,0
137,2,Middle Over,1,1,12,2.0,8.0,0,4.0,0.0,inf,3,25.0,0,0
137,2,Powerplay Over,1,1,6,1.0,3.0,0,3.0,0.0,inf,4,66.67,0,0
140,2,Death Over,2,2,18,3.0,29.0,1,9.67,29.0,18.0,5,27.78,1,2
140,2,Middle Over,4,4,48,8.0,43.0,2,5.38,21.5,24.0,13,27.08,1,1
140,2,Powerplay Over,1,1,14,2.0,13.0,1,6.5,13.0,12.0,8,57.14,1,0
147,2,Death Over,4,4,24,4.0,36.0,1,9.0,36.0,24.0,6,25.0,2,2
147,2,Middle Over,3,3,39,6.0,32.0,3,5.33,10.67,12.0,12,30.77,1,0
147,2,Powerplay Over,1,1,6,1.0,12.0,0,12.0,0.0,inf,1,16.67,2,0
149,2,Death Over,2,2,13,2.0,17.0,0,8.5,0.0,inf,2,15.38,0,1
149,2,Middle Over,5,5,44,7.0,60.0,4,8.57,15.0,10.5,17,38.64,4,3
