team_id,season_id,matches,wins,ties,no_results,losses,win_pct,runs_scored,runs_conceded,wickets_taken,wickets_lost,avg_runs_scored,avg_runs_conceded,chasing_matches,chasing_wins,chasing_win_pct,defending_matches,defending_wins,defending_win_pct,fours,sixes
12,5,15,4,0,0,11,26.67,2312.0,2405.0,83,89,154.13,160.33,4,1,25.0,11,3,27.27,377,173
13,9,16,9,0,0,7,56.25,2450.0,2607.0,81,102,153.12,162.94,10,8,80.0,6,1,16.67,467,155
13,10,14,4,1,0,9,28.57,2412.0,2483.0,70,86,172.29,177.36,7,4,66.67,8,0,0.0,447,190
14,1,14,7,0,0,7,50.0,2080.0,2096.0,94,80,148.57,149.71,8,5,62.5,6,2,33.33,401,142
14,2,13,5,0,0,8,38.46,1897.0,1802.0,81,82,145.92,138.62,5,1,20.0,8,4,50.0,284,105
14,3,16,11,0,0,5,68.75,2738.0,2417.0,101,102,171.12,151.06,5,3,60.0,11,8,72.73,470,135
14,4,16,10,0,0,6,62.5,2288.0,2283.0,103,82,143.0,142.69,8,5,62.5,8,5,62.5,437,116
14,5,17,10,0,0,7,58.82,2462.0,2530.0,106,107,144.82,148.82,11,7,63.64,6,3,50.0,426,167
14,6,19,13,0,0,6,68.42,2975.0,2832.0,123,114,156.58,149.05,8,4,50.0,11,9,81.82,524,198
14,7,15,7,0,0,8,46.67,2353.0,2346.0,73,90,156.87,156.4,6,4,66.67,9,3,33.33,391,172
14,8,16,10,0,0,6,62.5,2734.0,2694.0,95,87,170.88,168.38,6,3,50.0,10,7,70.0,491,213
14,9,14,7,0,0,7,50.0,2194.0,2190.0,68,84,156.71,156.43,7,5,71.43,7,2,28.57,366,168
14,10,17,11,1,0,5,64.71,2800.0,2645.0,105,108,164.71,155.59,11,7,70.0,7,4,66.67,439,208
14,11,14,6,0,0,8,42.86,2380.0,2282.0,92,89,170.0,163.0,5,2,40.0,9,4,44.44,400,199
14,12,16,10,1,0,5,62.5,2670.0,2569.0,100,92,166.88,160.56,7,4,66.67,10,6,66.67,442,231
14,13,16,11,2,0,3,68.75,2758.0,2517.0,100,77,172.38,157.31,8,6,100.0,10,5,62.5,454,218
14,14,14,7,0,0,7,50.0,2117.0,2128.0,83,95,151.21,152.0,6,4,66.67,8,3,37.5,353,156
14,15,14,4,0,0,10,28.57,2217.0,2351.0,87,94,158.36,167.93,9,3,33.33,5,1,20.0,365,211
14,16,16,9,0,0,7,56.25,2945.0,2954.0,95,94,184.06,184.62,10,6,60.0,6,3,50.0,509,282
14,17,14,4,0,0,10,28.57,2568.0,2660.0,85,96,183.43,190.0,9,2,22.22,5,2,40.0,432,269
14,18,16,9,0,0,7,56.25,2912.0,2716.0,116,86,182.0,169.75,7,4,57.14,9,5,55.56,493,265
15,1,15,10,0,0,5,66.67,2464.0,2417.0,95,79,164.27,161.13,8,6,75.0,7,4,57.14,458,188
15,2,14,7,0,0,7,50.0,1928.0,1886.0,76,87,137.71,134.71,8,4,50.0,6,3,50.0,304,121
15,3,14,3,1,0,10,21.43,2288.0,2374.0,76,81,163.43,169.57,7,3,50.0,8,0,0.0,457,130
15,4,14,7,0,0,7,50.0,2224.0,2173.0,81,88,158.86,155.21,7,3,42.86,7,4,57.14,437,142
15,5,16,8,0,0,8,50.0,2390.0,2455.0,93,102,149.38,153.44,8,5,62.5,8,3,37.5,443,138
15,6,16,8,0,0,8,50.0,2428.0,2417.0,82,104,151.75,151.06,8,5,62.5,8,3,37.5,471,143
15,7,17,12,0,0,5,70.59,2987.0,2794.0,113,95,175.71,164.35,7,6,85.71,10,6,60.0,502,234
15,8,14,2,1,0,11,14.29,2018.0,2292.0,72,105,144.14,163.71,7,0,0.0,8,2,28.57,358,170
15,9,14,4,0,0,10,28.57,2134.0,2233.0,73,91,152.43,159.5,6,2,33.33,8,2,25.0,398,124
15,10,14,7,0,0,7,50.0,2207.0,2229.0,73,83,157.64,159.21,6,3,50.0,8,4,50.0,375,175
15,11,14,6,0,0,8,42.86,2210.0,2326.0,84,93,157.86,166.14,7,3,42.86,7,3,42.86,368,188
15,12,14,6,0,0,8,42.86,2429.0,2503.0,76,74,173.5,178.79,7,3,42.86,7,3,42.86,413,202
15,13,14,5,2,0,7,35.71,2357.0,2362.0,82,76,168.36,168.71,8,3,50.0,8,2,33.33,380,197
16,14,14,6,0,0,8,42.86,2150.0,2117.0,79,81,153.57,151.21,5,3,60.0,9,3,33.33,333,170
16,15,14,7,0,0,7,50.0,2343.0,2252.0,83,99,167.36,160.86,5,3,60.0,9,4,44.44,391,201
16,16,14,6,0,0,8,42.86,2556.0,2564.0,72,99,182.57,183.14,5,2,40.0,9,4,44.44,480,218
16,17,14,5,0,0,9,35.71,2487.0,2612.0,101,92,177.64,186.57,10,5,50.0,4,0,0.0,443,234
16,18,18,10,0,2,6,55.56,3262.0,2901.0,97,103,181.22,161.17,7,5,71.43,11,5,55.56,516,321
17,6,17,9,1,0,7,52.94,2318.0,2356.0,111,107,136.35,138.59,8,5,71.43,10,4,44.44,401,128
17,7,14,6,0,0,8,42.86,2102.0,2237.0,76,74,150.14,159.79,4,3,75.0,10,3,30.0,352,173
17,8,14,7,0,0,7,50.0,2210.0,2126.0,79,81,157.86,151.86,5,1,20.0,9,6,66.67,369,162
17,9,17,11,0,0,6,64.71,2673.0,2580.0,98,97,157.24,151.76,8,6,75.0,9,5,55.56,453,170
17,10,14,8,0,0,6,57.14,2349.0,2166.0,96,62,167.79,154.71,5,3,60.0,9,5,55.56,404,151
17,11,17,10,0,0,7,58.82,2721.0,2674.0,105,99,160.06,157.29,8,5,62.5,9,5,55.56,469,198
17,12,15,6,1,0,8,40.0,2458.0,2374.0,89,84,163.87,158.27,7,4,66.67,9,2,25.0,391,181
17,13,16,8,1,0,7,50.0,2531.0,2448.0,99,87,158.19,153.0,10,4,44.44,7,4,66.67,404,162
17,14,14,3,1,0,10,21.43,2084.0,2224.0,76,92,148.86,158.86,9,2,25.0,6,1,20.0,366,136
17,15,14,6,0,0,8,42.86,2197.0,2416.0,86,80,156.93,172.57,11,5,45.45,3,1,33.33,369,209
17,16,14,4,0,0,10,28.57,2376.0,2486.0,76,90,169.71,177.57,7,2,28.57,7,2,28.57,462,177
17,17,16,9,0,0,7,56.25,3052.0,3016.0,83,105,190.75,188.5,6,3,50.0,10,6,60.0,482,324
17,18,14,6,0,1,7,42.86,2519.0,2584.0,88,83,179.93,184.57,5,3,60.0,8,3,37.5,445,250
18,4,14,6,0,0,8,42.86,1901.0,1986.0,74,86,135.79,141.86,7,4,57.14,7,2,28.57,350,119
