player_id,season_id,opposition_team_id,matches,innings,balls_bowled,overs,runs_conceded,wickets,economy,bowling_avg,bowling_strike_rate,dot_balls,dot_balls_pct,fours_conceded,sixes_conceded
293,1,13,1,1,25,4.0,32.0,3,8.0,10.67,8.0,8,32.0,4,0
293,1,17,1,1,25,4.0,36.0,2,9.0,18.0,12.0,6,24.0,2,2
294,1,2,1,1,19,3.0,35.0,1,11.67,35.0,18.0,4,21.05,2,2
294,1,5,2,2,45,7.0,53.0,3,7.57,17.67,14.0,16,35.56,5,1
294,1,9,1,1,26,4.0,32.0,1,8.0,32.0,24.0,7,26.92,2,1
294,1,13,1,1,25,4.0,47.0,1,11.75,47.0,24.0,5,20.0,4,3
294,1,16,1,1,20,3.0,45.0,0,15.0,0.0,inf,7,35.0,5,3
294,1,17,1,1,23,3.0,27.0,2,9.0,13.5,11.0,4,17.39,1,1
317,1,6,1,1,6,1.0,14.0,0,14.0,0.0,inf,2,33.33,0,2
317,1,11,1,1,6,1.0,4.0,0,4.0,0.0,inf,2,33.33,0,0
317,1,16,2,2,25,4.0,40.0,1,10.0,40.0,24.0,8,32.0,1,4
317,1,17,1,1,6,1.0,10.0,0,10.0,0.0,inf,2,33.33,2,0
326,1,5,1,1,19,3.0,24.0,0,8.0,0.0,inf,8,42.11,3,1
326,1,6,1,1,18,3.0,33.0,0,11.0,0.0,inf,1,5.56,2,2
326,1,16,2,2,40,6.0,46.0,3,7.67,15.33,13.33,20,50.0,4,3
326,1,17,1,1,12,2.0,24.0,0,12.0,0.0,inf,2,16.67,3,1
330,1,9,1,1,7,1.0,24.0,0,24.0,0.0,inf,0,0.0,2,2
340,1,5,1,1,13,2.0,25.0,0,12.5,0.0,inf,2,15.38,3,0
340,1,6,1,1,25,4.0,30.0,0,7.5,0.0,inf,9,36.0,3,1
340,1,13,2,2,26,4.0,60.0,0,15.0,0.0,inf,3,11.54,6,3
340,1,16,1,1,12,2.0,14.0,0,7.0,0.0,inf,4,33.33,0,1
353,1,11,1,1,24,4.0,35.0,1,8.75,35.0,24.0,8,33.33,3,2
353,1,17,1,1,24,4.0,19.0,1,4.75,19.0,24.0,8,33.33,1,0
381,1,2,1,1,18,3.0,22.0,0,7.33,0.0,inf,6,33.33,3,0
383,1,2,1,1,18,3.0,18.0,0,6.0,0.0,inf,6,33.33,2,0
383,1,5,2,2,39,6.0,62.0,2,10.33,31.0,18.5,20,51.28,11,2
383,1,6,2,2,32,5.0,42.0,0,8.4,0.0,inf,13,40.62,4,1
383,1,11,2,2,43,7.0,49.0,2,7.0,24.5,21.0,17,39.53,7,0
383,1,13,2,2,52,8.0,90.0,0,11.25,0.0,inf,15,28.85,13,1
383,1,16,2,2,39,6.0,36.0,1,6.0,36.0,36.0,19,48.72,4,1
383,1,17,2,2,43,7.0,32.0,2,4.57,16.0,21.0,20,46.51,3,0
388,1,9,1,1,25,4.0,40.0,1,10.0,40.0,24.0,6,24.0,2,2
403,1,2,1,1,12,2.0,35.0,0,17.5,0.0,inf,4,33.33,4,3
403,1,9,1,1,15,2.0,20.0,0,10.0,0.0,inf,3,20.0,0,1
403,1,11,1,1,17,2.0,46.0,0,23.0,0.0,inf,2,11.76,2,5
410,1,9,1,1,26,4.0,41.0,1,10.25,41.0,24.0,7,26.92,6,1
410,1,11,1,1,27,4.0,27.0,2,6.75,13.5,12.0,9,33.33,1,1
410,1,13,1,1,24,4.0,36.0,1,9.0,36.0,24.0,9,37.5,5,1
410,1,16,1,1,26,4.0,38.0,2,9.5,19.0,12.0,8,30.77,2,2
410,1,17,1,1,25,4.0,18.0,4,4.5,4.5,6.0,16,64.0,1,1
425,1,13,1,1,24,4.0,24.0,1,6.0,24.0,24.0,9,37.5,3,0
435,1,2,1,1,18,3.0,31.0,1,10.33,31.0,18.0,7,38.89,3,2
449,1,2,1,1,18,3.0,27.0,1,9.0,27.0,18.0,4,22.22,2,1
449,1,6,2,2,43,7.0,73.0,2,10.43,36.5,21.0,12,27.91,9,3
449,1,9,2,2,44,7.0,38.0,3,5.43,12.67,14.0,23,52.27,4,1
449,1,11,1,1,18,3.0,12.0,2,4.0,6.0,7.0,6,33.33,0,0
449,1,13,1,1,18,3.0,27.0,0,9.0,0.0,inf,6,33.33,2,1
449,1,16,2,2,40,6.0,55.0,3,9.17,18.33,12.33,15,37.5,3,4
