player_id,season_id,phase,matches,innings,balls_bowled,overs,runs_conceded,wickets,economy,bowling_avg,bowling_strike_rate,dot_balls,dot_balls_pct,fours_conceded,sixes_conceded
260,1,Death Over,1,1,6,1.0,9.0,1,9.0,9.0,6.0,2,33.33,0,1
260,1,Middle Over,4,4,43,7.0,52.0,1,7.43,52.0,40.0,5,11.63,3,0
284,1,Death Over,3,3,16,2.0,25.0,1,12.5,25.0,15.0,6,37.5,3,1
284,1,Middle Over,4,4,42,7.0,60.0,1,8.57,60.0,36.0,9,21.43,4,2
290,1,Middle Over,1,1,13,2.0,22.0,1,11.0,22.0,12.0,5,38.46,1,2
302,1,Middle Over,2,2,20,3.0,36.0,1,12.0,36.0,18.0,3,15.0,2,2
313,1,Middle Over,5,5,43,7.0,68.0,1,9.71,68.0,42.0,14,32.56,3,6
322,1,Death Over,6,6,56,9.0,73.0,5,8.11,14.6,10.8,14,25.0,4,4
322,1,Middle Over,11,11,168,28.0,178.0,6,6.36,29.67,26.0,55,32.74,11,5
322,1,Powerplay Over,2,2,12,2.0,33.0,0,16.5,0.0,inf,1,8.33,4,2
325,1,Middle Over,1,1,14,2.0,29.0,0,14.5,0.0,inf,5,35.71,3,1
326,1,Death Over,3,3,24,4.0,55.0,2,13.75,27.5,12.0,6,25.0,3,5
326,1,Middle Over,8,8,110,18.0,128.0,4,7.11,32.0,27.0,42,38.18,9,6
329,1,Death Over,11,11,87,14.0,123.0,6,8.79,20.5,13.17,29,33.33,14,3
329,1,Middle Over,4,4,56,9.0,49.0,2,5.44,24.5,27.0,24,42.86,5,0
329,1,Powerplay Over,13,13,201,33.0,211.0,9,6.39,23.44,21.33,105,52.24,34,3
331,1,Death Over,4,4,24,4.0,56.0,1,14.0,56.0,24.0,2,8.33,8,2
331,1,Middle Over,9,9,111,18.0,151.0,2,8.39,75.5,54.0,42,37.84,15,5
331,1,Powerplay Over,3,3,18,3.0,12.0,1,4.0,12.0,18.0,11,61.11,1,0
351,1,Death Over,7,7,55,9.0,105.0,5,11.67,21.0,10.8,14,25.45,6,9
351,1,Middle Over,15,15,264,44.0,299.0,14,6.8,21.36,18.43,93,35.23,17,10
357,1,Death Over,1,1,6,1.0,3.0,2,3.0,1.5,3.0,3,50.0,0,0
357,1,Middle Over,6,6,50,8.0,80.0,1,10.0,80.0,48.0,9,18.0,5,4
359,1,Death Over,2,2,13,2.0,26.0,1,13.0,26.0,12.0,5,38.46,2,2
359,1,Middle Over,8,8,109,18.0,140.0,4,7.78,35.0,27.0,47,43.12,15,5
359,1,Powerplay Over,3,3,19,3.0,16.0,0,5.33,0.0,inf,7,36.84,1,0
387,1,Death Over,5,5,30,5.0,45.0,3,9.0,15.0,10.0,8,26.67,3,2
387,1,Middle Over,9,9,63,10.0,65.0,1,6.5,65.0,60.0,21,33.33,5,1
387,1,Powerplay Over,16,16,278,46.0,333.0,13,7.24,25.62,20.77,125,44.96,34,13
401,1,Death Over,7,7,52,8.0,84.0,5,10.5,16.8,10.0,15,28.85,7,5
401,1,Middle Over,8,8,91,15.0,119.0,3,7.93,39.67,28.33,29,31.87,9,5
